"Name","Child Poverty by Poverty Level"
"Description","Poverty level is the ratio of household income to the Federal Poverty Level (FPL).&nbsp;The FPL varies based on the number of children and adults in a household and the age of the head of household. In 2019,&nbsp;<a href=""https://aspe.hhs.gov/2019-poverty-guidelines"" target=""_blank"">the annual income thresholds for a family of four</a>&nbsp;would correspond to the following breakdown of poverty levels:<br />
Below 100% FPL = Below $25,750<br />
100 to 199% FPL = $25,750 to $51,499<br />
Below 200% FPL = Below $51,500<br />
200 to 399% FPL = $51,500 to $102,999<br />
400% FPL and above = $103,000 and above"
"Source Notes","CCC Analysis of U.S. Census Bureau, American Community Survey Combined 3-Year Estimates, Public Use Microdata Sample Files (2005-2019). Retrieved from&nbsp;<a href=""https://data.census.gov/"" target=""_blank"">https://data.census.gov/</a>."
"Notes","The Census Bureau excludes institutionalized individuals, individuals living in military group quarters or college dorms, and unrelated individuals under 15 years of age from poverty estimates. Percents refer to the percent of the total population for whom poverty status was determined."

Location,Poverty Level,TimeFrame,DataFormat,Data,Fips
Lower East Side,200 to 399% FPL,2018,Number,2765,103
Murray Hill/Stuyvesant,200 to 399% FPL,2018,Number,499,106
Upper West Side,200 to 399% FPL,2018,Number,2660,107
Upper East Side,200 to 399% FPL,2018,Number,1722,108
Manhattanville,200 to 399% FPL,2018,Number,3520,109
Central Harlem,200 to 399% FPL,2018,Number,5210,110
East Harlem,200 to 399% FPL,2018,Number,4144,111
Washington Heights,200 to 399% FPL,2018,Number,10434,112
Concourse/Highbridge,200 to 399% FPL,2018,Number,8267,204
University Heights,200 to 399% FPL,2018,Number,7815,205
Bedford Park,200 to 399% FPL,2018,Number,8530,207
Riverdale,200 to 399% FPL,2018,Number,4328,208
Unionport/Soundview,200 to 399% FPL,2018,Number,12211,209
Throgs Neck,200 to 399% FPL,2018,Number,7137,210
Pelham Parkway,200 to 399% FPL,2018,Number,7989,211
Williamsbridge,200 to 399% FPL,2018,Number,9173,212
Williamsburg/Greenpoint,200 to 399% FPL,2018,Number,6398,301
Fort Greene/Brooklyn Hts,200 to 399% FPL,2018,Number,3067,302
Bedford Stuyvesant,200 to 399% FPL,2018,Number,6284,303
Bushwick,200 to 399% FPL,2018,Number,6590,304
East New York,200 to 399% FPL,2018,Number,13135,305
Park Slope,200 to 399% FPL,2018,Number,2668,306
Sunset Park,200 to 399% FPL,2018,Number,5181,307
Crown Heights North,200 to 399% FPL,2018,Number,5342,308
Crown Heights South,200 to 399% FPL,2018,Number,7626,309
Bay Ridge,200 to 399% FPL,2018,Number,5981,310
Bensonhurst,200 to 399% FPL,2018,Number,11206,311
Borough Park,200 to 399% FPL,2018,Number,9266,312
Coney Island,200 to 399% FPL,2018,Number,5339,313
Flatbush/Midwood,200 to 399% FPL,2018,Number,10640,314
Sheepshead Bay,200 to 399% FPL,2018,Number,9996,315
Brownsville,200 to 399% FPL,2018,Number,6539,316
East Flatbush,200 to 399% FPL,2018,Number,10167,317
Canarsie,200 to 399% FPL,2018,Number,15598,318
Astoria,200 to 399% FPL,2018,Number,7118,401
Sunnyside/Woodside,200 to 399% FPL,2018,Number,5915,402
Jackson Heights,200 to 399% FPL,2018,Number,10857,403
Elmhurst/Corona,200 to 399% FPL,2018,Number,9749,404
Ridgewood/Glendale,200 to 399% FPL,2018,Number,13200,405
Rego Park/Forest Hills,200 to 399% FPL,2018,Number,4793,406
Flushing,200 to 399% FPL,2018,Number,11609,407
Fresh Meadows/Briarwood,200 to 399% FPL,2018,Number,10860,408
Woodhaven,200 to 399% FPL,2018,Number,10821,409
Howard Beach,200 to 399% FPL,2018,Number,7791,410
Bayside,200 to 399% FPL,2018,Number,6444,411
Jamaica/St. Albans,200 to 399% FPL,2018,Number,17832,412
Queens Village,200 to 399% FPL,2018,Number,12368,413
The Rockaways,200 to 399% FPL,2018,Number,9224,414
St. George,200 to 399% FPL,2018,Number,10315,501
South Beach,200 to 399% FPL,2018,Number,9813,502
Tottenville,200 to 399% FPL,2018,Number,9183,503
Battery Park/Tribeca,200 to 399% FPL,2018,Number,765.68796,101
Greenwich Village,200 to 399% FPL,2018,Number,1130.31204,102
Chelsea/Clinton,200 to 399% FPL,2018,Number,1136.96259,104
Midtown Business District,200 to 399% FPL,2018,Number,569.03741,105
Mott Haven,200 to 399% FPL,2018,Number,5362.14444,201
Hunts Point,200 to 399% FPL,2018,Number,3061.85556,202
Morrisania,200 to 399% FPL,2018,Number,4575.44148,203
East Tremont,200 to 399% FPL,2018,Number,4776.55852,206
Lower East Side,400% FPL and above,2018,Number,3181,103
Murray Hill/Stuyvesant,400% FPL and above,2018,Number,10368,106
Upper West Side,400% FPL and above,2018,Number,22005,107
Upper East Side,400% FPL and above,2018,Number,25863,108
Manhattanville,400% FPL and above,2018,Number,5505,109
Central Harlem,400% FPL and above,2018,Number,6056,110
East Harlem,400% FPL and above,2018,Number,2545,111
Washington Heights,400% FPL and above,2018,Number,6492,112
Concourse/Highbridge,400% FPL and above,2018,Number,1917,204
University Heights,400% FPL and above,2018,Number,1492,205
Bedford Park,400% FPL and above,2018,Number,2205,207
Riverdale,400% FPL and above,2018,Number,7030,208
Unionport/Soundview,400% FPL and above,2018,Number,5406,209
Throgs Neck,400% FPL and above,2018,Number,8096,210
Pelham Parkway,400% FPL and above,2018,Number,4918,211
Williamsbridge,400% FPL and above,2018,Number,5644,212
Williamsburg/Greenpoint,400% FPL and above,2018,Number,6692,301
Fort Greene/Brooklyn Hts,400% FPL and above,2018,Number,13879,302
Bedford Stuyvesant,400% FPL and above,2018,Number,6778,303
Bushwick,400% FPL and above,2018,Number,3040,304
East New York,400% FPL and above,2018,Number,6462,305
Park Slope,400% FPL and above,2018,Number,17968,306
Sunset Park,400% FPL and above,2018,Number,7729,307
Crown Heights North,400% FPL and above,2018,Number,7686,308
Crown Heights South,400% FPL and above,2018,Number,4307,309
Bay Ridge,400% FPL and above,2018,Number,8717,310
Bensonhurst,400% FPL and above,2018,Number,10008,311
Borough Park,400% FPL and above,2018,Number,7329,312
Coney Island,400% FPL and above,2018,Number,4838,313
Flatbush/Midwood,400% FPL and above,2018,Number,8680,314
Sheepshead Bay,400% FPL and above,2018,Number,11086,315
Brownsville,400% FPL and above,2018,Number,3361,316
East Flatbush,400% FPL and above,2018,Number,6455,317
Canarsie,400% FPL and above,2018,Number,18437,318
Astoria,400% FPL and above,2018,Number,7440,401
Sunnyside/Woodside,400% FPL and above,2018,Number,6463,402
Jackson Heights,400% FPL and above,2018,Number,6092,403
Elmhurst/Corona,400% FPL and above,2018,Number,2465,404
Ridgewood/Glendale,400% FPL and above,2018,Number,15309,405
Rego Park/Forest Hills,400% FPL and above,2018,Number,10658,406
Flushing,400% FPL and above,2018,Number,11368,407
Fresh Meadows/Briarwood,400% FPL and above,2018,Number,9655,408
Woodhaven,400% FPL and above,2018,Number,8141,409
Howard Beach,400% FPL and above,2018,Number,8258,410
Bayside,400% FPL and above,2018,Number,9644,411
Jamaica/St. Albans,400% FPL and above,2018,Number,12189,412
Queens Village,400% FPL and above,2018,Number,16389,413
The Rockaways,400% FPL and above,2018,Number,8692,414
St. George,400% FPL and above,2018,Number,11235,501
South Beach,400% FPL and above,2018,Number,14068,502
Tottenville,400% FPL and above,2018,Number,15966,503
Battery Park/Tribeca,400% FPL and above,2018,Number,6897.24931,101
Greenwich Village,400% FPL and above,2018,Number,10181.75069,102
Chelsea/Clinton,400% FPL and above,2018,Number,6350.59583,104
Midtown Business District,400% FPL and above,2018,Number,3178.40417,105
Mott Haven,400% FPL and above,2018,Number,1324.62281,201
Hunts Point,400% FPL and above,2018,Number,756.37719,202
Morrisania,400% FPL and above,2018,Number,1043.56466,203
East Tremont,400% FPL and above,2018,Number,1089.43534,206
Lower East Side,Below 100% FPL,2017,Number,7564,103
Murray Hill/Stuyvesant,Below 100% FPL,2017,Number,509,106
Upper West Side,Below 100% FPL,2017,Number,3156,107
Upper East Side,Below 100% FPL,2017,Number,1187,108
Manhattanville,Below 100% FPL,2017,Number,6756,109
Central Harlem,Below 100% FPL,2017,Number,11113,110
East Harlem,Below 100% FPL,2017,Number,14151,111
Washington Heights,Below 100% FPL,2017,Number,11551,112
Concourse/Highbridge,Below 100% FPL,2017,Number,20833,204
University Heights,Below 100% FPL,2017,Number,20199,205
Bedford Park,Below 100% FPL,2017,Number,16418,207
Riverdale,Below 100% FPL,2017,Number,6770,208
Unionport/Soundview,Below 100% FPL,2017,Number,17227,209
Throgs Neck,Below 100% FPL,2017,Number,3870,210
Pelham Parkway,Below 100% FPL,2017,Number,7451,211
Williamsbridge,Below 100% FPL,2017,Number,8944,212
Williamsburg/Greenpoint,Below 100% FPL,2017,Number,10628,301
Fort Greene/Brooklyn Hts,Below 100% FPL,2017,Number,5359,302
Bedford Stuyvesant,Below 100% FPL,2017,Number,15024,303
Bushwick,Below 100% FPL,2017,Number,12232,304
East New York,Below 100% FPL,2017,Number,14439,305
Park Slope,Below 100% FPL,2017,Number,2080,306
Sunset Park,Below 100% FPL,2017,Number,13152,307
Crown Heights North,Below 100% FPL,2017,Number,8349,308
Crown Heights South,Below 100% FPL,2017,Number,6038,309
Bay Ridge,Below 100% FPL,2017,Number,3923,310
Bensonhurst,Below 100% FPL,2017,Number,9234,311
Borough Park,Below 100% FPL,2017,Number,22181,312
Coney Island,Below 100% FPL,2017,Number,7036,313
Flatbush/Midwood,Below 100% FPL,2017,Number,9009,314
Sheepshead Bay,Below 100% FPL,2017,Number,6431,315
Brownsville,Below 100% FPL,2017,Number,10212,316
East Flatbush,Below 100% FPL,2017,Number,6035,317
Canarsie,Below 100% FPL,2017,Number,6855,318
Astoria,Below 100% FPL,2017,Number,5144,401
Sunnyside/Woodside,Below 100% FPL,2017,Number,3410,402
Jackson Heights,Below 100% FPL,2017,Number,8927,403
Elmhurst/Corona,Below 100% FPL,2017,Number,6975,404
Ridgewood/Glendale,Below 100% FPL,2017,Number,4982,405
Rego Park/Forest Hills,Below 100% FPL,2017,Number,2623,406
Flushing,Below 100% FPL,2017,Number,6247,407
Fresh Meadows/Briarwood,Below 100% FPL,2017,Number,4871,408
Woodhaven,Below 100% FPL,2017,Number,6355,409
Howard Beach,Below 100% FPL,2017,Number,4554,410
Bayside,Below 100% FPL,2017,Number,1955,411
Jamaica/St. Albans,Below 100% FPL,2017,Number,8469,412
Queens Village,Below 100% FPL,2017,Number,4574,413
The Rockaways,Below 100% FPL,2017,Number,9289,414
St. George,Below 100% FPL,2017,Number,11323,501
South Beach,Below 100% FPL,2017,Number,5530,502
Tottenville,Below 100% FPL,2017,Number,2635,503
Battery Park/Tribeca,Below 100% FPL,2017,Number,304.49827,101
Greenwich Village,Below 100% FPL,2017,Number,449.50173,102
Chelsea/Clinton,Below 100% FPL,2017,Number,1145.62643,104
Midtown Business District,Below 100% FPL,2017,Number,573.37357,105
Mott Haven,Below 100% FPL,2017,Number,13857.29872,201
Hunts Point,Below 100% FPL,2017,Number,7912.70128,202
Morrisania,Below 100% FPL,2017,Number,11337.81873,203
East Tremont,Below 100% FPL,2017,Number,11836.18127,206
Lower East Side,100 to 199% FPL,2017,Number,5025,103
Murray Hill/Stuyvesant,100 to 199% FPL,2017,Number,772,106
Upper West Side,100 to 199% FPL,2017,Number,2509,107
Upper East Side,100 to 199% FPL,2017,Number,1134,108
Manhattanville,100 to 199% FPL,2017,Number,5514,109
Central Harlem,100 to 199% FPL,2017,Number,7368,110
East Harlem,100 to 199% FPL,2017,Number,5717,111
Washington Heights,100 to 199% FPL,2017,Number,11584,112
Concourse/Highbridge,100 to 199% FPL,2017,Number,10142,204
University Heights,100 to 199% FPL,2017,Number,10004,205
Bedford Park,100 to 199% FPL,2017,Number,9981,207
Riverdale,100 to 199% FPL,2017,Number,4067,208
Unionport/Soundview,100 to 199% FPL,2017,Number,11544,209
Throgs Neck,100 to 199% FPL,2017,Number,2937,210
Pelham Parkway,100 to 199% FPL,2017,Number,7910,211
Williamsbridge,100 to 199% FPL,2017,Number,7616,212
Williamsburg/Greenpoint,100 to 199% FPL,2017,Number,9576,301
Fort Greene/Brooklyn Hts,100 to 199% FPL,2017,Number,2855,302
Bedford Stuyvesant,100 to 199% FPL,2017,Number,9881,303
Bushwick,100 to 199% FPL,2017,Number,6285,304
East New York,100 to 199% FPL,2017,Number,11356,305
Park Slope,100 to 199% FPL,2017,Number,2903,306
Sunset Park,100 to 199% FPL,2017,Number,10786,307
Crown Heights North,100 to 199% FPL,2017,Number,5730,308
Crown Heights South,100 to 199% FPL,2017,Number,6231,309
Bay Ridge,100 to 199% FPL,2017,Number,4625,310
Bensonhurst,100 to 199% FPL,2017,Number,11206,311
Borough Park,100 to 199% FPL,2017,Number,14100,312
Coney Island,100 to 199% FPL,2017,Number,5816,313
Flatbush/Midwood,100 to 199% FPL,2017,Number,12160,314
Sheepshead Bay,100 to 199% FPL,2017,Number,7858,315
Brownsville,100 to 199% FPL,2017,Number,6192,316
East Flatbush,100 to 199% FPL,2017,Number,9218,317
Canarsie,100 to 199% FPL,2017,Number,9166,318
Astoria,100 to 199% FPL,2017,Number,6746,401
Sunnyside/Woodside,100 to 199% FPL,2017,Number,6362,402
Jackson Heights,100 to 199% FPL,2017,Number,12923,403
Elmhurst/Corona,100 to 199% FPL,2017,Number,12348,404
Ridgewood/Glendale,100 to 199% FPL,2017,Number,8635,405
Rego Park/Forest Hills,100 to 199% FPL,2017,Number,2601,406
Flushing,100 to 199% FPL,2017,Number,14407,407
Fresh Meadows/Briarwood,100 to 199% FPL,2017,Number,9526,408
Woodhaven,100 to 199% FPL,2017,Number,7350,409
Howard Beach,100 to 199% FPL,2017,Number,6232,410
Bayside,100 to 199% FPL,2017,Number,3398,411
Jamaica/St. Albans,100 to 199% FPL,2017,Number,14781,412
Queens Village,100 to 199% FPL,2017,Number,8125,413
The Rockaways,100 to 199% FPL,2017,Number,9206,414
St. George,100 to 199% FPL,2017,Number,5995,501
South Beach,100 to 199% FPL,2017,Number,4283,502
Tottenville,100 to 199% FPL,2017,Number,3849,503
Battery Park/Tribeca,100 to 199% FPL,2017,Number,172.03748,101
Greenwich Village,100 to 199% FPL,2017,Number,253.96252,102
Chelsea/Clinton,100 to 199% FPL,2017,Number,582.47673,104
Midtown Business District,100 to 199% FPL,2017,Number,291.52327,105
Mott Haven,100 to 199% FPL,2017,Number,7389.49843,201
Hunts Point,100 to 199% FPL,2017,Number,4219.50157,202
Morrisania,100 to 199% FPL,2017,Number,6523.13529,203
East Tremont,100 to 199% FPL,2017,Number,6809.86471,206
Lower East Side,Below 200% FPL,2017,Number,12589,103
Murray Hill/Stuyvesant,Below 200% FPL,2017,Number,1281,106
Upper West Side,Below 200% FPL,2017,Number,5665,107
Upper East Side,Below 200% FPL,2017,Number,2321,108
Manhattanville,Below 200% FPL,2017,Number,12270,109
Central Harlem,Below 200% FPL,2017,Number,18481,110
East Harlem,Below 200% FPL,2017,Number,19868,111
Washington Heights,Below 200% FPL,2017,Number,23135,112
Concourse/Highbridge,Below 200% FPL,2017,Number,30975,204
University Heights,Below 200% FPL,2017,Number,30203,205
Bedford Park,Below 200% FPL,2017,Number,26399,207
Riverdale,Below 200% FPL,2017,Number,10837,208
Unionport/Soundview,Below 200% FPL,2017,Number,28771,209
Throgs Neck,Below 200% FPL,2017,Number,6807,210
Pelham Parkway,Below 200% FPL,2017,Number,15361,211
Williamsbridge,Below 200% FPL,2017,Number,16560,212
Williamsburg/Greenpoint,Below 200% FPL,2017,Number,20204,301
Fort Greene/Brooklyn Hts,Below 200% FPL,2017,Number,8214,302
Bedford Stuyvesant,Below 200% FPL,2017,Number,24905,303
Bushwick,Below 200% FPL,2017,Number,18517,304
East New York,Below 200% FPL,2017,Number,25795,305
Park Slope,Below 200% FPL,2017,Number,4983,306
Sunset Park,Below 200% FPL,2017,Number,23938,307
Crown Heights North,Below 200% FPL,2017,Number,14079,308
Crown Heights South,Below 200% FPL,2017,Number,12269,309
Bay Ridge,Below 200% FPL,2017,Number,8548,310
Bensonhurst,Below 200% FPL,2017,Number,20440,311
Borough Park,Below 200% FPL,2017,Number,36281,312
Coney Island,Below 200% FPL,2017,Number,12852,313
Flatbush/Midwood,Below 200% FPL,2017,Number,21169,314
Sheepshead Bay,Below 200% FPL,2017,Number,14289,315
Brownsville,Below 200% FPL,2017,Number,16404,316
East Flatbush,Below 200% FPL,2017,Number,15253,317
Canarsie,Below 200% FPL,2017,Number,16021,318
Astoria,Below 200% FPL,2017,Number,11890,401
Sunnyside/Woodside,Below 200% FPL,2017,Number,9772,402
Jackson Heights,Below 200% FPL,2017,Number,21850,403
Elmhurst/Corona,Below 200% FPL,2017,Number,19323,404
